Group Name,Ward,Total Member Count,Total_Members_Paid,Total_Amount_Paid
N I C SELF HELP GROUP,Lindi,10,1,100
NABADO SHG,Laini Saba,31,5,800
NAIROBI INTERESTATE,Korogocho,18,5,500
NAIROBI INTERESTATE,Lucky Summer,18,1,100
NAIROKO,Ng'ando,6,3,300
NAMBA WG,West Gem,1,1,100
NAMUDU ALALA SHG,Lindi,26,10,2800
NANDI,West Kasipul,8,7,800
NASA,Karura,12,1,100
NASA WOMEN SHG,Central Alego,2,2,200
NAWIRI 36 SHG,Kilimani,3,1,200
NAYA A,East Gem,4,3,300
NAYA B,East Gem,1,1,100
NAYA C,East Gem,2,1,100
NAYA D,East Gem,1,1,100
NAYA MALER,Ugunja,2,1,600
NAZARENE,West Alego,11,3,300
NAZARETH B,North Gem,6,5,520
NAZARETH MUTUMBU,North Gem,3,1,100
NAZARIAN,South Kanyamkago,2,1,300
NDAGARIA JOINT,Yala Township,6,5,900
NDAI FISHERMEN,Central Alego,6,5,700
NDAI TIN TO LER,Central Alego,8,7,900
NDAI TIN TO LER B,Central Alego,3,2,300
NDANU FALLS WOMEN,Yala Township,2,1,100
NDATI SUPPORT A,South Sakwa,4,1,100
NDATI SUPPORT B,South Sakwa,8,2,400
NDEDAS,South Kanyamkago,3,3,400
NDERE,Kanyamwa Kologi,15,6,1003
NDERE SISTERS,West Uyoma,8,6,1000
NDHIWA TOWNSHIP,Kanyamwa Kosewe,5,4,700
NDHIWA WG A,West Asembo,7,2,400
NDIGWA,South Uyoma,3,2,300
NDIGWA CAREGIVER SILC,South Uyoma,5,2,200
NDIGWA CEREAL WOMEN,South Uyoma,9,7,701
NDIRU WOMEN,North Sakwa,9,7,700
NDISI DELIVERANCE,Kanyamwa Kosewe,6,2,300
NDISI KIWIRO SHG,Kanyamwa Kosewe,4,4,400
NDISI MWEMA,Kanyamwa Kosewe,5,1,100
NDISI SHG,Kanyamwa Kosewe,3,2,200
NDIWO MOYIE A,Yimbo East,1,1,100
NDIWO MOYIE B,Yimbo East,7,2,200
NDIWO MOYIE D,Yimbo East,9,4,500
NDIZI A,Central Kamagambo,4,1,100
NDIZI WOMEN,Central Kamagambo,4,4,600
NDORI 7 STAR,Homa Bay East,6,2,200
NDORI JUNCTION,East Asembo,4,1,100
NDOTO NJEMA,Ng'ando,16,11,2400
NDUGE E,West Gem,2,2,300
NDULA MOYIE,Central Sakwa,8,2,300
NDURU LOK PACHI,South East Alego,7,2,200
NDURU PWD,West Alego,8,4,400
NDWARU AGENCY,Waithaka,14,2,200
NE GI  WANG'I,Wasweta Ii,1,1,100
NE GI WANGI,Central Alego,45,7,900
NE GI WANGI,North Kanyamkago,45,1,100
NE GI WANGI,Siaya Township,45,7,800
NE GI WANGI,Ukwala,45,2,200
NE GI WANGI,Wangchieng,45,1,100
NE GI WANGI WOMEN,God Jope,4,3,300
NE KAKA OBER,Wangchieng,2,1,100
NE KENDI,West Alego,12,6,900
NE KENDI,West Uyoma,12,2,200
NE MBELE WOMEN,West Asembo,9,1,100
NEE KENDI,South Sakwa,2,1,100
NEE KENDI SHG,Kanyamwa Kologi,6,2,200
NEE MBELE,West Sakwa,7,5,500
NEEMA,East Kamagambo,13,2,200
NEEMA,Sigomere,13,6,600
NEEMA A,Masaba,3,2,400
NEEMA AGEGE,North Uyoma,7,2,205
NEEMA AGEGE,South Uyoma,7,1,100
NEEMA B.,Sigomere,2,1,100
NEEMA CHIANDA,North Uyoma,7,4,600
NEEMA CHIANDA,South Uyoma,7,1,200
NEEMA SILC,West Karachuonyo,4,1,100
NEEMA TANGA,West Uyoma,3,1,100
NEEMA UDIBONY,North Ugenya,3,2,200
NEEMA WOMEN GROUP,West Yimbo,11,9,900
NEGI WAGI WOMEN GROUP,Woodley,26,1,100
NEGI WANGI,Central Nyakach,15,1,1
NEGI WANGI,Kanyamwa Kosewe,15,1,100
NEHEMA RIARA,Imara Daima,11,8,900
NEIGHBORS SATELLITE,Ng'ando,2,1,100
NEIGHBOURHOOD SHG,North Sakwa,7,6,1000
NEIGHBOURS WG,Wiga,4,2,200
NEMA,Homa Bay Arujo,11,5,600
NEMA,Homa Bay Central,11,1,100
NENORE,North Uyoma,1,1,100
NETO,Nyayo Highrise,5,4,450
NEW  KISUMU NDOGO,Lindi,1,1,100
NEW ALBION WELFARE ASS,Lindi,21,16,1700
NEW AMAGONGA SHG,Kwa Njenga,14,2,200
NEW DAWIN,Riruta,5,4,400
NEW DAWN 1,North Sakwa,6,1,100
NEW DAY,Karura,1,1,300
NEW DIGO UNITED SHINE,Laini Saba,26,6,1000
NEW FACE,Kanyamwa Kosewe,2,2,300
NEW FRIENDS,West Uyoma,9,4,400
NEW GENEARTION,North Sakwa,1,1,100
NEW GENERATION,Hospital,18,1,200
NEW GENERATION,Ngei,18,4,400
NEW GENERATION,West Asembo,18,1,200
NEW GLORY SHG,Dandora Area Iv,22,2,200
NEW GOT BONDO,East Asembo,10,3,400
NEW HONO CHURCH,Ng'ando,2,1,300
NEW HOPE,East Kamagambo,4,1,100
NEW HOPE,Kokwanyo/Kakelo,4,2,200
NEW HOPE PALA,West Uyoma,6,3,300
NEW HOPE WOMAN,Nyayo Highrise,33,4,400
NEW JIKAZE SHG,Makina,14,11,1100
NEW KANYAMBIR CLAN SHG,Woodley,11,9,900
NEW KASASO B,North Sakwa,23,4,600
NEW KATULYE SHG,Laini Saba,10,6,600
NEW LIFE,Kanyamwa Kosewe,1,1,100
NEW LIFE KABIRIA,Riruta,1,1,100
NEW MULO BODABODA B,South Sakwa,3,1,100
NEW MULO BODABODA C,South Sakwa,4,2,200
NEW MWANGAZA SHINNING,Mugumu-Ini,7,4,400
NEW OMBO,Kabuoch North,3,2,200
NEW RABET A,South Sakwa,5,5,500
NEW ROBI DEVELOPERS,Suna Central,3,1,200
NEW STAR  BEACH,Central Karachuonyo,8,3,400
NG'OLA,Ugunja,5,3,300
NG'OLA B.,Ugunja,2,2,400
NG'UONO A,South Sakwa,4,4,600
NG'UONO B,South Sakwa,6,4,400
NG'UONO B.,Sidindi,1,1,100
NG'UONO BER,Usonga,3,1,100
NG'UONO WOMEN,West Gem,3,2,200
NG'WE TUUNGANE,South East Alego,1,1,100
NGARA GROUP,Central Kamagambo,2,1,100
NGATATA,Mutu-Ini,3,1,100
NGEGE LADIES WG,God Jope,6,1,200
NGEI 1 DEVELOPMENT YOUTH,Huruma,19,15,1600
NGERO WOMEN,West Uyoma,6,5,800
NGIMA E MWANDU,East Gem,4,3,300
NGIMA EN MWANDU,North Kamagambo,8,4,400
NGIMA EN MWANDU,Ugunja,8,3,300
NGIMA MIYIERO,South East Alego,3,2,200
NGIMA TEK,West Gem,8,4,305
NGIYA STAGE,South East Alego,9,8,800
NGOLO STARS,Kwabwai,8,4,400
NGOYA LOVELY,Siaya Township,8,2,200
NGUGE A,West Gem,12,9,1300
NGUGE B,West Gem,7,4,700
NGUGE C,West Gem,10,10,1200
NGUGE E,West Gem,3,1,100
NGUGE F,West Gem,5,1,300
NGUKU DAGO,Kanyadoto,5,3,300
NGULU MIXED GROUP,Yimbo East,13,7,700
NGUNYA CHURCH LEADERS,Ugunja,7,2,200
NGUONO A,Central Gem,10,4,400
NGUONO B,Central Gem,4,1,100
NGUONO C,Central Gem,5,3,300
NGUONO KOWINGA,East Ugenya,11,5,500
NGUONO MIWUORO,East Gem,8,3,400
NGUONO NYALA,South Kasipul,4,3,300
NGUONO SINAPANGA,West Sakwa,6,3,300
NGUONO WOMEN,West Gem,10,9,2000
NGUONO WOMEN GROUP A,West Uyoma,5,1,100
NGWATANO RACECOURSE,Ng'ando,9,4,400
NGWATE SHG,Lindi,12,9,900
NGWONO,South Kamagambo,7,2,200
NGWONO SHOFCO,Siaya Township,6,2,200
NIND GI LAWI,Central Sakwa,14,4,400
NIND GI LAWI B,Central Sakwa,5,1,100
NINE BROTHERS,North Karachuonyo,5,2,200
NITD MWAKA,Kitisuru,26,12,1300
NNYANGOGE E,Tagare,1,1,1245
NOBLE VENTURES,Masaba,3,1,100
NONA SHG,West Sakwa,15,4,500
NONRI SHG,Kendu Bay Town,3,2,1300
NORAH,Lindi,8,4,600
NORTH ALEGO WATER,North Alego,11,9,900
NYA USIMA CBO B,Yimbo East,1,1,100
NYABEDA MOYIE,Central Alego,12,11,1200
NYABEDA MOYIE  C,Central Alego,2,1,200
NYABEDA MOYIE B,Central Alego,1,1,100
NYABEDA WELFARE A,North Gem,9,4,400
NYABEDA WELFARE B,North Gem,2,1,100
NYABEDA WELFARE C,North Gem,5,1,100
NYABEDA WELFARE D,North Gem,2,2,200
NYABENGE MOYIE,North Sakwa,2,1,100
NYABERA WOMEN GROUP,West Uyoma,9,9,1100
NYABIBHAGO B,Nyamosense/Komosoko,4,2,200
NYABIBHAGO C,Nyamosense/Komosoko,6,4,400
NYABIBHAGO D,Nyamosense/Komosoko,4,1,100
NYABIBHAGO F,Nyamosense/Komosoko,3,1,100
NYABIBHAGO H,Nyamosense/Komosoko,1,1,100
NYABIDHAGO G,Nyamosense/Komosoko,7,2,200
NYABONDO,North Sakwa,15,12,1200
NYABURI SHG,Kendu Bay Town,10,3,300
NYABURU,North Karachuonyo,8,7,700
NYABWANGA SUPPORT GROUP,West Sakwa,6,4,400
NYACHORIA SUPPORT,North Kamagambo,4,1,100
NYADIEL A,Homa Bay Central,6,4,600
NYADORERA TRADERS,Usonga,4,4,800
NYADUSI SILK,Wangchieng,1,1,300
NYAGERA,East Ugenya,1,1,100
NYAGOKO A,West Asembo,7,2,300
NYAGOKO B,West Asembo,10,4,400
NYAGOKO C,West Asembo,7,2,300
NYAGOKO D,West Asembo,7,3,310
NYAGOKO OPANGA,West Asembo,10,2,200
NYAGOKO SILK B,West Asembo,8,5,700
NYAGOWA,West Kasipul,11,10,1101
NYAGUDA DISABLES,East Seme,9,1,1
NYAGWELA KWARE,Ugunja,4,3,300
NYAHARUA MOYIE,North Ugenya,13,4,400
NYAHERA ,Wangchieng,15,1,300
NYAHERA LADIES,God Jope,6,4,500
NYAIMA MOTHERS SHG,Kendu Bay Town,2,2,200
NYAJODE GROUP,South Gem,4,2,400
NYAKACH LOWER SHG,Sarang'ombe,13,7,900
NYAKAL,East Kamagak,17,9,1200
NYAKINYE,North Kamagambo,1,1,100
NYAKOKO,West Asembo,1,1,200
NYAKONGO SHG,Kibiri,8,8,900
NYAKWA ,Homa Bay East,8,5,600
NYAKWAMBA WOMEN,Kwabwai,4,2,200
NYAKWAR OCHIENG SELF HELP GROUP,Central Alego,1,1,100
NYAKWERE YAW PACHI,Central Kamagambo,15,7,1300
NYALARO  GROUP GENDRO,North Ugenya,6,4,400
NYALGUNGA B,North Alego,4,1,200
NYALO,Kagan,3,2,400
NYALUO WOMEN,Central Alego,9,8,900
NYALUO WOMEN,North Alego,9,1,100
NYAMAGAGANA MJAJI,Masaba,2,1,100
NYAMAGAGANA MJAJI B,Bukira Central/Ikerege,3,2,200
NYAMAKO,Homa Bay East,5,4,400
NYAMATOMO,East Kamagambo,2,2,300
NYAMAURO,Central Karachuonyo,9,1,100
NYAMAURO,East Kamagambo,9,3,600
NYAMAURO,Homa Bay East,9,1,100
NYAMAYOMO A,East Kamagambo,1,1,100
NYAMBOGWE CBO,South East Alego,12,6,900
NYAMBOYO B,Yimbo East,5,3,300
NYAMBOYO MOYIE,North Ugenya,13,1,100
NYAMBOYO MOYIE,Ukwala,13,6,600
NYAMDAR,Central Alego,12,10,1200
NYAMILA UGENYA,East Ugenya,4,2,200
NYAMILA UGENYA WELFARE GROUP,North Alego,1,1,100
NYAMIRA 4K SILK,West Sakwa,2,1,100
NYAMKIRIA COMMUNITY,South Gem,8,6,600
NYAMONYE A,Yimbo East,2,1,200
NYAMSENDA UPENDO,North Ugenya,14,9,1000
NYAMWANGA A,South Sakwa,3,1,200
NYAMWANGA COMMUNITY DEVELOPMENT,Central Sakwa,15,10,1601
NYAMWANGA JUNCTION,North Ugenya,11,6,600
NYAMWARE DISABILITY 1,Suna Central,3,1,100
NYAMWARE DISABILITY 2,Suna Central,6,3,300
NYAMWARE DISABILITY 3,Suna Central,2,1,100
NYAMWARE DISABILITY 6,Suna Central,3,2,400
NYAMWARE PEFA ONE,Suna Central,5,4,500
NYANAM SHG,Sarang'ombe,31,4,700
NYANDHO WOMEN GROUP ,Wangchieng,16,8,2700
NYANDIWA A OGWEDHI A,Central Gem,6,1,100
NYANDIWA A OGWEDHI B,Central Gem,6,3,500
NYANDIWA VILLAGE ALDERS B,Central Gem,2,2,300
NYANDIWA VILLAGE ELDERS A,Central Gem,10,8,1100
NYANDIWA WELFARE A,Central Gem,4,3,300
NYANDIWA WELFARE B,Central Gem,2,1,100
NYANDONG,South Kamagambo,2,1,700
NYANDUMA,South Kasipul,5,3,300
NYANDUMA SILK,Wangchieng,5,3,500
NYANDUSI MUUNGANO,Wangchieng,6,6,1000
NYANGA RIWRUOK BER,North Ugenya,1,1,100
NYANGERA C,East Ugenya,11,4,400
NYANGERA K,East Ugenya,5,1,100
NYANGERA WOMEN,East Ugenya,1,1,200
NYANGIDI HERA,Central Alego,4,1,100
NYANGOGE D,Tagare,2,1,100
NYANGOGE E,Tagare,3,1,100
NYANGORO,South Sakwa,2,1,100
NYANGORO WOMEN,South Sakwa,4,3,300
NYAPOTO,Central Alego,4,3,400
NYARANGA MOYIE,Sigomere,4,2,200
NYARANGA RIWRUOK BER,North Ugenya,8,5,700
NYAREDO SHOFCO GRP,South East Alego,1,1,100
NYARIJI A,North Sakwa,12,6,700
NYARIJI C,North Sakwa,12,5,500
NYARIJI E,North Sakwa,5,1,100
NYARIJI SHINNERS,North Sakwa,4,1,100
NYAROMBO LADIES,Wasimbete,4,4,500
NYARONGI WOMEN,Kakrao,9,7,800
NYARUM SHG,South Gem,10,5,500
NYASANDA,Ugunja,2,1,100
NYASANDA B,Ugunja,4,1,100
NYASANDA C,Ugunja,3,1,100
NYASANDA DECOG,Ugunja,2,1,100
NYASANGA SHG,Central Alego,3,3,300
NYASANI,Wasweta Ii,5,4,400
NYASARA C,Kakrao,2,2,200
NYASEKO A,North Alego,7,5,500
NYASENDA UPENDO,North Ugenya,1,1,100
NYASI WOMEN,Kabondo East,3,3,400
NYASIO LOWER,North Uyoma,2,1,100
NYASIO LOWER A,North Uyoma,9,5,500
NYASIO WOMEN GROUP,North Ugenya,5,4,400
NYASIRAWA WOMEN,South Gem,5,2,200
NYASOTI ROHO,South Kamagambo,2,1,100
NYATAMBE SALONIST,West Sakwa,2,1,100
NYATHI EN MWANDU,North Ugenya,16,7,700
NYAUSIMA CBO B,Yimbo East,5,5,831
NYAUSIMA CBO C,Yimbo East,5,3,400
NYAWANA,Homa Bay Arujo,2,2,200
NYAWARA GROUP,Ugunja,3,2,200
NYAWARA WIDOWS,Central Gem,9,4,400
NYAWARA WIDOWS,West Gem,9,2,200
NYAWITA,East Ugenya,8,5,600
NYAWITA B,East Ugenya,4,1,100
NYAWITA OSIEPE,West Alego,6,1,200
NYAWUYA SAVINGS,God Jope,2,1,100
NYAYO MARKET MEMBERS,Utalii,6,1,300
NYAYO POULTRY KEEPING,South Kanyamkago,7,5,500
NYI ALEGO TALANTA,West Sakwa,9,7,700
NYI ASEMBO WOMEN,South Gem,3,2,500
NYI COUNTY ,Kiamaiko,10,6,1200
NYI GEM MOYIE,West Sakwa,25,3,300
NYI GEM MOYIE,West Yimbo,25,1,100
NYI GEM MOYIE,Yimbo East,25,9,1100
NYI GINGA A,Central Gem,9,3,300
NYI GINGA B,Central Gem,4,2,200
NYI JUSA MOYIE,West Yimbo,8,4,1500
NYI KANYANGO WOMEN,West Gem,2,1,100
NYI KOMOLLO NGERO,South Sakwa,12,6,2690
NYI KWA DAYO,Yimbo East,1,1,400
NYI KWA NYADENGE,West Alego,7,4,400
NYI LOKA WOMEN,Kanyaluo,10,2,200
NYI LOKA WOMEN,South Gem,10,1,300
NYI MARIA,West Gem,4,3,300
NYI PINJE WOMEN,South Sakwa,2,1,100
NYI SEME WOMEN GROUP,South Gem,7,1,100
NYI TICH,Siaya Township,4,2,200
NYI UGENYA,West Alego,7,2,200
NYI UGENYA MOYIE,North Sakwa,15,5,700
NYI UGENYA MOYIE,Yimbo East,15,6,1500
NYI UGENYA RIWRUOK,Yala Township,4,3,500
NYI UGUNJA,Ugunja,2,1,200
NYI UPANDA MOYIE,Yimbo East,4,4,400
NYI UYOMA WOMEN,Central Gem,8,6,800
NYI WANG CHIENG,West Gem,8,5,500
NYI-CENTRAL,Kwabwai,4,3,300
NYIBULE FOUNDATION,North Sakwa,10,2,700
NYIERO MACHIEN,East Gem,4,1,100
NYIERO MACHIEN MIT MOLOYO MOKUONGO,Shaurimoyo Kaloleni,7,1,1
NYIKA ONE,Suna Central,6,3,300
NYIKA TWO,Suna Central,7,2,200
NYIKOKISE,North Uyoma,4,3,400
NYIKWA  KUNGWE,Central Alego,1,1,100
NYIKWA AMOSI MOYIE,Central Sakwa,6,2,200
NYIKWA AMOSI MOYIE,South Sakwa,6,1,100
NYIKWA KUNGWE,Central Alego,6,4,400
NYIKWA MESHACK,Central Sakwa,6,1,100
NYIKWA MESHACK,South Sakwa,6,4,400
NYIKWA NDAS,Central Alego,4,4,400
NYIKWA NOAS GROUP,Central Alego,3,3,300
NYIKWA OCHIENG SHG,Central Alego,13,10,2700
NYIKWA OJI SHG,North Sakwa,9,2,200
NYIKWA OKUMU,West Sakwa,5,3,400
NYIKWA OMOLLO A,South East Nyakach,7,1,100
NYIKWA ONYANGO,Kanyamwa Kosewe,4,4,500
NYIKWA OROWE SHG,Nyalenda B,7,1,1
NYIMALO B.,Sidindi,5,4,400
NYIMALO WOMEN,Sidindi,1,1,200
NYIOT,South Kasipul,9,6,800
NYISEME B,West Asembo,8,1,100
NYITINDO YG,Central Nyakach,3,1,1
NYIU UGENYA WOMEN GROUP,South Sakwa,6,1,100
NYIUYOMA KANDARIA,East Asembo,6,2,400
NYIWA MUMA,West Kamagak,13,7,700
NYIWANDE MOYIE WG,South Sakwa,12,7,1000
NYOKASI FARMERS,Central Karachuonyo,3,3,300
NYON MOS,Sidindi,2,2,400
NYON MOS B,Sidindi,7,6,1800
NYORE A,West Asembo,3,1,100
NYOTA,Siaya Township,9,2,200
NYOTA,Ugunja,9,1,100
NYOTA IKONZO,North Ugenya,5,2,200
NYOTA NDOGO,North Ugenya,2,1,100
NYOTIENO A,Ahero,12,1,1
NYOYUOYO,North Kamagambo,5,1,100
Naga Group ,Kabiro,1,1,100
Nairobi men,Sarang'ombe,1,1,100
Nairobi west F M,Nyayo Highrise,21,1,100
Nakhayo Women,Gatina,28,3,400
Nakuru massive,Pipeline,1,1,400
Namakambo Juniors,Baba Dogo,6,2,300
Namoyi SHG,Kariobangi North,18,3,300
Naridai SHG,Njiru,33,5,1300
Nature walk,Makongeni,7,3,300
Nawiri,Mabatini,9,5,500
Ndoa SHG,Nyayo Highrise,6,4,600
Ndovu,Gatina,11,4,600
Ndumbere,Gatina,1,1,100
Ndwara 2024,Kware,11,9,1200
Nector ,Imara Daima,5,5,3000
Neema,Hospital,21,3,300
Neema,Kayole South,21,2,200
Neema 2020,Nyayo Highrise,11,1,100
Neema 5,Dandora Area Iv,15,3,300
Neema Chokaa,Ruai,8,3,300
Neema Group ,Baba Dogo,9,5,700
Neema Mukuru,Kwa Njenga,5,2,200
Neema SHG,Kahawa West,18,4,1000
Neema Stage two ,Gatina,28,23,3300
Neema Upendo,Mugumu-Ini,14,7,1200
Neema Ya Bwana,Lower Savannah,14,9,900
Neema gro,Githurai,2,1,100
Neema gro,Kahawa West,2,1,300
Neema group,Kwa Njenga,8,1,100
Neema group,Mowlem,8,3,300
Neema woman ,Ngei,1,1,100
Neighbours Women ,Woodley,8,1,500
Neolife ,Utalii,34,12,1200
Nest A Pipeline,Pipeline,12,6,1300
Nest B Pipeline,Pipeline,12,6,900
Network CBO,Kariobangi North,12,3,300
New Agape ,Dandora Area Ii,2,1,100
New Ambassador ,Kabiro,16,7,700
New Azuza,Utalii,14,9,1200
New Begginers,Nyayo Highrise,31,7,1100
New Creation ,Mathare North,17,5,500
New Creation ,Utalii,17,1,100
New Day ,Karura,34,3,400
New Digital ,Hospital,7,3,300
New Digital women,Mabatini,6,1,100
New Face,Gatina,17,1,100
New Glory,Kariobangi North,2,2,200
New Great ten,Mowlem,5,3,300
New Hope ,Kware,5,3,500
New Hope 1,Landimawe,12,11,1400
New Hope 44,Roysambu,1,1,300
New Jokabiye SHG,Korogocho,13,2,300
New Kamuma SHG,Hospital,14,1,100
New Kamuma SHG,Ngei,14,12,2300
New Life Foundation 46,Kawangware,20,11,2100
New Pamela,Airbase,12,7,1000
New Pendo la Wamama,Kwa Reuben,12,8,800
New Rica,Nyayo Highrise,5,3,500
New Transformer ,Kwa Reuben,8,5,500
New Upendo,Kwa Reuben,4,1,100
New Wendano,Kwa Reuben,5,2,600
New foundation ,Lindi,12,1,100
New friends of Hope,Mathare North,14,6,800
New generation,Imara Daima,19,14,1400
New hope Sanctuary SHG,Kariobangi North,7,1,500
New kitui 2021,Pumwani,2,2,200
New ways SHG,Korogocho,8,1,200
Newlife,Karura,16,2,300
Next Chapter ,Baba Dogo,11,2,200
Next Step,Mathare North,10,1,100
Nezitec,Lindi,12,2,200
Ngara Youth,Ngara,12,3,900
Ngombe,Sarang'ombe,1,1,100
Ngomongo  Level 2,Korogocho,21,11,1500
Nguono Mar Nyasaye,Lucky Summer,3,2,500
Nguumo Women,Kwa Reuben,11,7,700
Nipate Mbele SHG,Kawangware,70,8,800
Nisaidie Nitakusaidia SHG,Kawangware,11,7,800
Nisii Group ,Baba Dogo,15,8,1100
Njitengeme ,Karura,24,2,200
No 8 People SHG,Nyayo Highrise,9,3,300
Noah's Ark,Imara Daima,2,2,600
Noah's Ark ,Imara Daima,4,2,300
North Sun 1,Ngei,4,2,400
Nurse,California,12,4,400
Nuru,Huruma,18,12,1200
Nuru SHG,Gatina,42,21,6400
Nuru yetu A,Makongeni,40,20,2500
Nuru yetu B,Makongeni,15,1,200
Nyabute Welfare ,Mathare North,7,6,1300
Nyakech Widows ,Lambwe,8,5,700
Nyako Ber ,North Gem,2,1,100
Nyalgunga inn ,North Alego,3,3,900
Nyanam,Hospital,10,1,100
Nyanam,Ngei,10,1,100
Nyapalo ,Kabondo East,13,12,1200
Nyasaki ,Kwa Njenga,9,3,500
Nyasigo group ,Imara Daima,5,3,300
Nyawana A,Nyayo Highrise,15,3,900
Nyi Alego ,Korogocho,6,3,300
Nyi-GemWelfare ,Kware,1,1,600
NyiGem Welfare ,Kware,13,11,4600
Nyikwa Jossy,Korogocho,6,4,1700
Nyikwa Noah,Maringo/Hamza,15,11,1100
Nyikwa Omollo,Utalii,3,2,200
Nyilela,Kakrao,9,8,1000
Nyilela pure group,Kakrao,1,1,100
Nyobonyo Welfare ,Korogocho,10,9,900
Nyota  Njema,Kwa Njenga,7,5,500
Nyota Christian SHG,Nyayo Highrise,18,3,300
Nyota Mwangaza,Lindi,14,5,1100
Nyota Ndogo,Imara Daima,12,6,1000
Nyota Ni Mwanga,Baba Dogo,10,2,400
Nyota Safi,Korogocho,14,10,1000
Nyota Ya Kusini,Baba Dogo,9,3,300
Nyota ya Alfajiri,Ruai,5,1,300
Nyumba Imwe,Imara Daima,5,3,300
Nyumba moja SHG,Dandora Area Iv,4,2,200
Nyumbani SHG,Kwa Reuben,3,1,100
Nyuthe ,Mathare North,4,1,100
OBAGA AMURT,South Sakwa,16,10,1200
OBAGA B,South Sakwa,24,8,800
OBAGA WOMEN,South Sakwa,3,1,100
OBAK W,West Uyoma,6,5,700
OBAMA B,Yimbo East,4,2,200
OBAMA MOYIE,West Sakwa,4,4,900
OBECHE A,Wangchieng,12,10,3330
OBECHE SILK,Wangchieng,13,5,1500
OBENGE SHG,Sarang'ombe,7,1,200
OBER,West Yimbo,14,8,1700
OBERA,Kabondo East,2,2,200
OBOCH,North Kamagambo,6,4,500
OBOCH MOYIE,East Asembo,9,9,1200
OBOCHONJO,Mugumu-Ini,10,6,1800
OBODI SHG,Kanyamwa Kologi,4,3,300
OBOKONYI,Kayole South,25,16,4000
OBOMO SHG,Sarang'ombe,7,2,300
OBONDI AKELE,West Uyoma,4,2,200
OBORO A,West Uyoma,5,1,100
OBWANO,Mugumu-Ini,11,7,800
OBWOGO B,West Alego,3,2,200
OBWOGO B SHG,West Alego,6,4,400
OCHAMOKO,Riruta,6,1,100
OCHAYA WELFARE,North Gem,2,2,200
OCHICH GROUP,Central Karachuonyo,5,2,200
OCHIENGA MOYIE S H G,North Uyoma,5,4,500
OCHILO WOMEN GRP,South East Alego,17,5,1500
OCHOL,South Sakwa,1,1,100
OCHOL DEVELOPMENT WG,Lambwe,3,2,200
OCHOL PAMOJA,North Kamagambo,2,2,200
OCHOL VILLAGE YOUTH GROUP,South East Nyakach,6,1,1
OCHONGA SHG,North Sakwa,10,9,1000
OCHONGE A WOMEN,Wiga,8,6,900
OCHUNA SHG,South Gem,8,5,600
OCHUOGA,Kabuoch North,3,1,100
OD WADU WOMEN,Kwa,6,5,500
ODAO DEVELOPMENT,Central Sakwa,4,2,200
ODASO SHG,Kanyamwa Kosewe,5,1,100
ODEDE MOYIE,North Uyoma,6,4,400
ODHIER OBOCH,Ugunja,6,4,400
ODIDA ONE,Suna Central,4,1,100
ODINGI DEVELOPMENT,Central Sakwa,7,4,400
ODOK FOCUS,South Gem,8,2,200
ODUOKO GENO,Ukwala,16,8,800
ODUOKO GENO B,North Ugenya,6,1,100
ODUOKO GENO B,Ukwala,6,3,300
ODUOKO GENO C,Ukwala,3,1,100
OFWANGA A,North Kamagambo,5,1,200
OGANDA B,North Sakwa,11,5,500
OGANDA MATIYO MATEK,Sigomere,4,3,300
OGANDA MOYIE SHG,Lindi,28,9,1600
OGANDA MOYIE SHG,Sarang'ombe,28,1,100
OGANDE,Gem East,8,5,500
OGANGO MOYIE,West Uyoma,4,2,200
OGARE SHG,Yimbo East,17,5,501
OGEGA GROUP,Kanyadoto,3,1,100
OGERO SHG,Riruta,4,4,400
OGILO YOUTH,Kabondo West,4,1,100
OGINYA SHG,Kanyamwa Kologi,4,3,305
OGOLLAH,Huruma,7,7,700
OGOLO DHIER,Wiga,11,2,200
OGOLO DHIER SHG,Kendu Bay Town,9,4,400
OGONY DEVELOP,West Uyoma,1,1,100
OGUNDA SHG,North Ugenya,3,2,200
OGWASI SGP,Got Kachola,4,2,200
OGWEDHI,Central Alego,29,5,500
OGWEDHI,Homa Bay East,29,3,300
OGWEDHI,North Kamagambo,29,2,300
OGWEDHI,North Kanyamkago,29,3,500
OGWEDHI,Siaya Township,29,2,200
OGWEDHI ,North Kamagambo,2,1,400
OGWEDHI 'B',Kabondo East,2,1,100
OGWEDHI A,Kabondo East,10,2,200
OGWEDHI A,North Uyoma,10,4,400
OGWEDHI B AGE,North Uyoma,2,1,100
OGWEDHI C AGE,North Uyoma,3,1,100
OGWEDHI GROUP,North Kamagambo,1,1,100
OGWEDHI HAWINGA,Siaya Township,7,2,200
OGWEDHI HERA A SHG,Kwa,2,1,100
OGWEDHI HERA B SHG,Kwa,1,1,100
OGWEDHI LUSI,North Uyoma,11,5,600
OGWEDHI SHG,Kanyaluo,8,1,100
OGWEDHI WOMEN,Central Gem,13,3,300
OGWEDHI WOMEN,South Gem,13,5,500
OHAKA MAUA,North Sakwa,4,2,200
OHANDE NDIWO,West Alego,6,2,300
OHIER RATEGO A,North Sakwa,2,1,100
OIINO SIBWA,Kibiri,2,1,100
OIKO SILC D,South Sakwa,9,4,1200
OIKO SILK C,South Sakwa,4,2,400
OJOLA NYAUMA,North Karachuonyo,8,6,800
OJUNGE CENTRAL B,Central Kasipul,2,1,100
